,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory
117099,GCF_000254535.1,Campylobacter jejuni subsp. jejuni LMG 9081 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni LMG 9081,,homo sapiens,,,,feces from 34 year old woman in south america before 1979,,,Generic,True,
117100,GCF_000254575.1,Campylobacter jejuni subsp. jejuni LMG 9217 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni LMG 9217,,homo sapiens,,,,childs feces from before 1986,,,Generic,True,
117101,GCF_000255055.1,Campylobacter jejuni subsp. jejuni LMG 9872 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni LMG 9872,,homo sapiens,,,,cerebrospinal fluid from person suffering from meningitis,,,Generic,True,
117314,GCF_009730615.1,Listeria monocytogenes N843_10 genome sequencing and assembly,,,Human prosthetic hip joint isolate Listeria monocytogenes N843_10,,homo sapiens,,,Hip prosthetic joint listeriosis,hip prosthetic joint fluid,,,Pathogen.cl,True,
117315,GCF_009730635.1,Listeria monocytogenes N843_15 genome sequencing and assembly,,,Recurrent human prosthetic hip joint infection isolate Listeria monocytogenes N843_15,,homo sapiens,,,Hip prosthetic joint listeriosis,septic hip prosthetic joint fluid,,,Pathogen.cl,True,
117319,GCF_009755485.1,Listeria monocytogenes Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,Neonatal sepsis,umbilical cord blood,,,Pathogen.cl,True,
117320,GCF_009755545.1,Listeria monocytogenes Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,Uterine infection during pregnancy,uterine,,,Pathogen.cl,True,
117343,GCF_011881925.1,Pathogenic microorganism Genome sequencing,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,,amniotic fluid (pregnant woman),,,"Microbe, viral or environmental",True,
117344,GCF_011881945.1,Pathogenic microorganism Genome sequencing,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,,throat swab (tonsillitis),,,"Microbe, viral or environmental",True,
117347,GCF_011882005.1,Pathogenic microorganism Genome sequencing,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,,blood (pregnant woman),,,"Microbe, viral or environmental",True,
117349,GCF_011882085.1,Pathogenic microorganism Genome sequencing,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,,throat swab (meningitis),,,"Microbe, viral or environmental",True,
117350,GCF_011882105.1,Pathogenic microorganism Genome sequencing,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,,cerebrospinal fluid (meningitis),,,"Microbe, viral or environmental",True,
117417,GCF_014304775.1,Monitoring the sources of  Listeria mocytogenes infection.,,,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,not data,necrotizing tonsils,,,Pathogen.cl,True,
117477,GCF_900162385.1,Genomics of Listeria monocytogenes isolates persistent in food processing sites,,,18F03,,,,,,human - smoked mussel outbreak,,,Generic,True,
117507,GCF_900637775.1,NCTC_3000,,,NCTC7974,,homo sapiens,,,,vein blood,,,Generic,True,
117533,GCF_001563565.1,Campylobacter jejuni strain:RM3194 Genome sequencing,,,Pathogen: environmental/food/other sample from Campylobacter jejuni,,homo sapiens,,,,enteritis,,,Pathogen.env,True,
118183,GCF_002224385.1,Campylobacter jejuni strain:81-176_G1_hybrid_B0 Genome sequencing and assembly,,,Microbe sample from Campylobacter jejuni,,homo sapiens,,,,laboratory,,,"Microbe, viral or environmental",True,
118203,GCF_003048115.1,Genome sequencing of Campylobacter jejuni isolated in Bangladesh.,,,Campylobacter jejuni from stool sample of GBS patient.,,homo sapiens,,,Guillain barre syndrome,stool sample from guillain-barre syndrome patient,,,Pathogen.cl,True,
118204,GCF_003048165.1,Genome sequencing of Campylobacter jejuni isolated in Bangladesh.,,,Campylobacter jejuni from stool sample of GBS patient.,,homo sapiens,,,Guillain barre syndrome,stool sample from guillain-barre syndrome patient,,,Pathogen.cl,True,
118205,GCF_003048185.1,Genome sequencing of Campylobacter jejuni isolated in Bangladesh.,,,Campylobacter jejuni from stool sample of GBS patient.,,homo sapiens,,,Guillain barre syndrome,stool sample from guillain-barre syndrome patient,,,Pathogen.cl,True,
118374,GCF_006345835.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118375,GCF_006345845.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118376,GCF_006345885.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118377,GCF_006345895.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118378,GCF_006345905.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118379,GCF_006345955.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118380,GCF_006345965.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118381,GCF_006345975.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118382,GCF_006345985.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118383,GCF_006346035.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118384,GCF_006346045.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118385,GCF_006346065.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118386,GCF_006346075.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118387,GCF_006346125.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118388,GCF_006346135.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118389,GCF_006346145.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118390,GCF_006346195.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118391,GCF_006346205.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118392,GCF_006346215.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118393,GCF_006346235.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118394,GCF_006346275.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118395,GCF_006346285.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
118505,GCF_006508225.1,Campylobacter jejuni strain:2006-119 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacter jejuni,faces,,,Pathogen.cl,True,
118540,GCF_007845775.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118541,GCF_007845785.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118542,GCF_007845825.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118543,GCF_007845845.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118544,GCF_007845865.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118545,GCF_007845875.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118546,GCF_007845885.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118547,GCF_007845935.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118548,GCF_007845945.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118549,GCF_007845955.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118550,GCF_007845975.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118551,GCF_007846005.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118552,GCF_007846035.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118553,GCF_007846045.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118554,GCF_007846055.1,campylobacter jejuni in Hangzhou 2018,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,anal swab,,,Pathogen.cl,True,
118621,GCF_001516515.1,Campylobacter jejuni BJ-CJGB96299 Genome sequencing and assembly,,,Sample from Campylobacter jejuni BJ-CJGB96299,,homo sapiens,,,,stool specimen from a guillain-barre syndrome patient,,,Generic,True,
118622,GCF_001516565.1,Campylobacter jejuni HB-CJGB-LC Genome sequencing and assembly,,,Sample from Campylobacter jejuni HB-CJGB-LC,,homo sapiens,,,,stool specimen from a guillain-barre syndrome patient,,,Generic,True,
119208,GCF_000755785.1,Burkholderia mallei strain:FMH 23344 Genome sequencing,,,Microbe sample from Burkholderia mallei,,homo sapiens,,,,laboratory acquired infection,,,"Microbe, viral or environmental",True,
119277,GCF_000565425.1,Burkholderia mallei panel sequencing,,,Pathogen sample from Burkholderia mallei,,homo sapiens,,,,liver abcess,,,Pathogen.env,True,
119283,GCF_000565365.2,Burkholderia mallei panel sequencing,,,Pathogen sample from Burkholderia mallei,,homo sapiens,,,,knee fluid,,,Pathogen.env,True,
119308,GCF_000757075.1,Burkholderia pseudomallei strain:BDM Genome sequencing and assembly,,,Microbe sample from Burkholderia pseudomallei,,homo sapiens,,,,blood and urine,,,"Microbe, viral or environmental",True,
119310,GCF_000757105.1,Burkholderia pseudomallei strain:BDT Genome sequencing and assembly,,,Microbe sample from Burkholderia pseudomallei,,homo sapiens,,,,joint aspirate,,,"Microbe, viral or environmental",True,
119312,GCF_000757165.1,Burkholderia pseudomallei strain:BGH Genome sequencing and assembly,,,Microbe sample from Burkholderia pseudomallei,,homo sapiens,,,,wound swab pus,,,"Microbe, viral or environmental",True,
119316,GCF_000757235.1,Burkholderia pseudomallei strain:BEG Genome sequencing and assembly,,,Microbe sample from Burkholderia pseudomallei,,homo sapiens,,,,blood/urine,,,"Microbe, viral or environmental",True,
119326,GCF_000932075.1,Sequencing of Burkholderia pseudomallei isolates from cystic fibrosis patients,,,Pathogen: clinical or host-associated sample from Burkholderia pseudomallei,,homo sapiens,,,chronic melioidosis,cystic fibrosis lung,,,Pathogen.cl,True,
119327,GCF_000932085.1,Sequencing of Burkholderia pseudomallei isolates from cystic fibrosis patients,,,Pathogen: clinical or host-associated sample from Burkholderia pseudomallei,,homo sapiens,,,chronic melioidosis,cystic fibrosis lung,,,Pathogen.cl,True,
119328,GCF_000932095.1,Sequencing of Burkholderia pseudomallei isolates from cystic fibrosis patients,,,Pathogen: clinical or host-associated sample from Burkholderia pseudomallei,,homo sapiens,,,chronic melioidosis,cystic fibrosis lung,,,Pathogen.cl,True,
119329,GCF_000932105.1,Sequencing of Burkholderia pseudomallei isolates from cystic fibrosis patients,,,Pathogen: clinical or host-associated sample from Burkholderia pseudomallei,,homo sapiens,,,chronic melioidosis,cystic fibrosis lung,,,Pathogen.cl,True,
119330,GCF_000932145.1,Sequencing of Burkholderia pseudomallei isolates from cystic fibrosis patients,,,Pathogen: clinical or host-associated sample from Burkholderia pseudomallei,,homo sapiens,,,chronic melioidosis,cystic fibrosis lung,,,Pathogen.cl,True,
119334,GCF_000961535.1,Burkholderia pseudomallei strain:MSHR5107 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Burkholderia pseudomallei,,homo sapiens,,,Melioidosis,neck abscess,,,Pathogen.cl,True,
119352,GCF_001196775.1,Burkholderia pseudomallei serial patient,,,Burkholderia pseudomallei,,homo sapiens,,,,trachea,,,Generic,True,
119357,GCF_001197795.1,Burkholderia pseudomallei serial patient,,,Burkholderia pseudomallei,,homo sapiens,,,,trachea,,,Generic,True,
119369,GCF_001202415.1,Burkholderia pseudomallei serial patient,,,Burkholderia pseudomallei,,homo sapiens,,,,trachea,,,Generic,True,
119395,GCF_001210965.1,Burkholderia pseudomallei serial patient,,,Burkholderia pseudomallei,,homo sapiens,,,,trachea,,,Generic,True,
